"Factor
number",Name,"Type of
molecule",Source,Pathway(s)
,Fibrinogen,"Plasma
protein",Liver,
,Prothrombin,"Plasma
protein",Liver*,
,"Tissue thromboplastin or tissue
factor","Lipoprotein
mixture","Damaged cells
and platelets",
,Calcium ions,"Inorganic
ions in
plasma","Diet, platelets,
bone matrix",
,Proaccelerin,"Plasma
protein","Liver, platelets",
,Not used,Not used,Not used,
,Proconvertin,"Plasma
protein",Liver *,
,Antihemolytic factor A,"Plasma
protein factor","Platelets and
endothelial cells",
,"Antihemolytic factor B (plasma
thromboplastin component)","Plasma
protein",Liver*,
,"Stuart–Prower factor
(thrombokinase)",Protein,Liver*,
,"Antihemolytic factor C (plasma
thromboplastin antecedent)","Plasma
protein",Liver,
,Hageman factor,"Plasma
protein",Liver,
,Fibrin-stabilizing factor,"Plasma
protein","Liver, platelets",
